time,open,high,low,close,volume
2025-01-01T08:03:00+08:00,250.4216,250.4216,250.4216,250.4216,189
2025-01-01T08:11:00+08:00,250.45,250.45,250.45,250.45,221
2025-01-01T08:14:00+08:00,250.4208,250.4208,250.4208,250.4208,502
2025-01-01T08:19:00+08:00,250.43,250.43,250.42,250.42,1246
